SMI_Idx,Smiles,Products
18,[Cl:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([n:7][cH:8][cH:9][c:10]2[NH:11][CH:12]([CH3:13])[CH2:14][CH2:15][CH2:16][NH:17][CH2:18][CH3:19])[cH:20]1,"['CC(CCCN)Nc1ccnc2cc(Cl)ccc12', 'C[CH]=O']"
19,[O:1]=[C:2]1[c:3]2[c:4]([OH:5])[cH:6][c:7]([OH:8])[cH:9][c:10]2[O:11][CH:12]([c:13]3[cH:14][cH:15][c:16]4[O:17][CH:18]([CH2:19][OH:20])[CH:21]([O:22][c:23]4[cH:24]3)[c:25]5[cH:26][cH:27][c:28]([OH:29])[c:30]([O:31][CH3:32])[cH:33]5)[CH:34]1[OH:35],"['[CH2]=O', 'O=C1c2c(O)cc(O)cc2OC(c2ccc3c(c2)OC(c2ccc(O)c(O)c2)C(CO)O3)C1O']"
20,[O:1]=[C:2]1[N:3]([C:4](=[O:5])[CH:6]2[CH2:7][CH2:8][CH2:9][CH2:10][CH:11]12)[CH2:12][CH2:13][CH2:14][CH2:15][N:16]3[CH2:17][CH2:18][N:19]([c:20]4[n:21][s:22][c:23]5[cH:24][cH:25][cH:26][cH:27][c:28]45)[CH2:29][CH2:30]3,"['O=C1C2CCCCC2(O)C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1', 'O=C1C2CCC(O)CC2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1', 'c1ccc2c(N3CCNCC3)nsc2c1', 'O=[CH]CCCN1C(=O)C2CCCCC2C1=O']"
21,[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([cH:7][c:8]1[C:9]([F:10])([F:11])[F:12])[N:13]2[C:14](=[O:15])[C:16]([N:17]([c:18]3[cH:19][cH:20][c:21]([C:22](=[O:23])[NH:24][CH3:25])[c:26]([F:27])[cH:28]3)[C:29]2=[S:30])([CH3:31])[CH3:32],"['[CH2]=O', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1']"
22,[O:1]=[C:2]([NH:3][CH2:4][CH2:5][N:6]([CH:7]([CH3:8])[CH3:9])[CH:10]([CH3:11])[CH3:12])[c:13]1[n:14][c:15]([s:16][cH:17]1)[NH:18][C:19](=[O:20])[c:21]2[cH:22][c:23]([O:24][CH3:25])[c:26]([O:27][CH3:28])[cH:29][c:30]2[OH:31],"['COc1cc(O)c(C(=O)Nc2nc(C(=O)NCCNC(C)C)cs2)cc1OC', 'C[C](C)=O']"
23,[O:1]=[C:2]1[c:3]2[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH3:10])[cH:11][c:12]2[CH2:13][CH:14]1[CH2:15][CH:16]3[CH2:17][CH2:18][N:19]([CH2:20][c:21]4[cH:22][cH:23][cH:24][cH:25][cH:26]4)[CH2:27][CH2:28]3,"['[CH2]=O', 'COc1cc2c(cc1O)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2', 'COc1cc2c(cc1O)CC(CC1CCN(Cc3ccccc3)CC1)C2=O', 'O=[CH]c1ccccc1', 'COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2']"
24,[CH:1]#[C:2][C:3]1([OH:4])[CH2:5][CH2:6][CH:7]2[CH:8]3[CH2:9][CH2:10][c:11]4[cH:12][c:13]([O:14][CH3:15])[cH:16][cH:17][c:18]4[CH:19]3[CH2:20][CH2:21][C:22]12[CH3:23],"['[CH2]=O', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C']"
25,[O:1]=[C:2]([OH:3])[CH2:4][CH:5]([OH:6])[CH2:7][CH:8]([OH:9])[CH:10]=[CH:11][c:12]1[c:13]([n:14][c:15]([n:16][c:17]1[CH:18]([CH3:19])[CH3:20])[N:21]([CH3:22])[S:23](=[O:24])(=[O:25])[CH3:26])-[c:27]2[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]2,"['[CH2]=O', 'CC(C)c1nc(NS(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O']"
26,[O:1]=[C:2]([OH:3])[CH:4]([c:5]1[cH:6][cH:7][c:8]2[S:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16](=[O:17])[CH2:18][c:19]2[cH:20]1)[CH3:21],['CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2=O']
27,[O:1]=[P:2]([O:3][c:4]1[n:5][c:6]([n:7][c:8]([cH:9]1)[CH3:10])[CH:11]([CH3:12])[CH3:13])([O:14][CH2:15][CH3:16])[O:17][CH2:18][CH3:19],"['Cc1cc(O)nc(C(C)C)n1', 'CCOP(=O)(O)OCC']"
28,[S:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][c:8]([cH:9]1)[C:10]([CH3:11])([CH3:12])[CH3:13])[N:14]([c:15]2[n:16][c:17]([O:18][CH3:19])[cH:20][cH:21][cH:22]2)[CH3:23],"['CN(C(=S)Oc1cccc(C(C)(C)C)c1)c1cccc(O)n1', '[CH2]=O']"
29,[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][O:10][C:11]2([c:12]3[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]3)[CH2:19][CH2:20][CH2:21][NH:22][CH3:23],"['N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1', '[CH2]=O']"
30,[S:1]1[c:2]2[cH:3][cH:4][cH:5][cH:6][c:7]2[N:8]([c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]13)[CH2:15][CH:16]([N:17]([CH3:18])[CH3:19])[CH3:20],"['CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C', 'CC(CN1c2ccccc2Sc2cc(O)ccc21)N(C)C', '[CH2]=O', 'CNC(C)CN1c2ccccc2Sc2ccccc21']"
31,[OH:1][c:2]1[cH:3][cH:4][cH:5][c:6]([cH:7]1)[C:8]([c:9]2[cH:10][cH:11][c:12]([O:13][CH2:14][CH2:15][N:16]([CH3:17])[CH3:18])[cH:19][cH:20]2)=[C:21]([c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[CH2:28][CH3:29],"['[CH2]=O', 'CCC(=C(c1ccc(OCCNC)cc1)c1cccc(O)c1)c1ccccc1']"
32,[F:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[CH:8]2[CH2:9][CH2:10][NH:11][CH2:12][CH:13]2[CH2:14][O:15][c:16]3[cH:17][cH:18][c:19]4[O:20][CH2:21][O:22][c:23]4[cH:24]3,"['O=[CH]Oc1cc(OCC2CNCCC2c2ccc(F)cc2)ccc-1O', 'O=[CH]Oc1ccc(OCC2CNCCC2c2ccc(F)cc2)cc-1O']"
33,[cH:1]1[cH:2][cH:3][c:4]([cH:5][cH:6]1)[N:7]([CH2:8][CH2:9][CH2:10][N:11]([CH2:12][CH3:13])[CH2:14][CH3:15])[CH:16]2[CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3[CH2:24]2,"['CCN(CC)CCCN(c1ccc(O)cc1)C1Cc2ccccc2C1', 'CCN(CC)CCCN(c1ccccc1)C1Cc2ccc(O)cc2C1', 'C[CH]=O', 'CCNCCCN(c1ccccc1)C1Cc2ccccc2C1']"
34,[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[CH2:10][CH2:11][CH:12]2[N:13]([CH3:14])[CH2:15][CH2:16][CH2:17][CH2:18]2)[c:19]3[cH:20][cH:21][c:22]([O:23][CH3:24])[cH:25][cH:26]3,"['COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2)cc1', '[CH2]=O', 'CN1CCCCC1CCc1ccccc1NC(=O)c1ccc(O)cc1']"
35,[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[CH2:10][CH2:11][CH:12]2[NH:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18]3[cH:19][cH:20][c:21]([O:22][CH3:23])[cH:24][cH:25]3,"['[CH2]=O', 'O=C(Nc1ccccc1CCC1CCCCN1)c1ccc(O)cc1']"
36,[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[CH2:10][CH2:11][CH:12]2[N:13]([CH3:14])[CH2:15][CH2:16][CH2:17][CH2:18]2)[c:19]3[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]3,"['[CH2]=O', 'O=C(Nc1ccccc1CCC1CCCCN1)c1ccc(O)cc1']"
37,[O:1]=[C:2]([NH:3][CH2:4][CH:5]1[NH:6][CH2:7][CH2:8][CH2:9][CH2:10]1)[c:11]2[cH:12][c:13]([O:14][CH2:15][C:16]([F:17])([F:18])[F:19])[cH:20][cH:21][c:22]2[O:23][CH2:24][C:25]([F:26])([F:27])[F:28],"['O=[CH]C(F)(F)F', 'O=C(NCC1CCCCN1)c1cc(O)ccc1OCC(F)(F)F']"
38,[O:1]=[C:2]1[N:3]([N:4]=[CH:5][c:6]2[o:7][c:8]([cH:9][cH:10]2)-[c:11]3[cH:12][cH:13][c:14]([Cl:15])[cH:16][cH:17]3)[CH2:18][C:19](=[O:20])[N:21]1[CH2:22][CH2:23][CH2:24][CH2:25][N:26]4[CH2:27][CH2:28][N:29]([CH3:30])[CH2:31][CH2:32]4,"['[CH2]=O', 'O=C1CN(N=Cc2ccc(-c3ccc(Cl)cc3)o2)C(=O)N1CCCCN1CCNCC1']"
39,[Cl:1][CH:2]=[CH2:3],"['C=C(O)Cl', 'OC=CCl', 'ClC1CO1']"
40,[O:1]=[C:2]([O:3][CH:4]=[CH2:5])[NH2:6],"['C=C(O)OC(N)=O', 'NC(=O)OC=CO', 'NC(=O)OC1CO1']"
41,[F:1][CH:2]([F:3])[O:4][CH:5]([Cl:6])[C:7]([F:8])([F:9])[F:10],"['OC(F)F', 'O=[C](Cl)C(F)(F)F']"
42,[Cl:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[CH2:8][CH2:9][c:10]3[cH:11][cH:12][cH:13][n:14][c:15]3[C:16]2=[C:17]4[CH2:18][CH2:19][N:20]([CH2:21][c:22]5[cH:23][n:24][cH:25][c:26]([cH:27]5)[CH3:28])[CH2:29][CH2:30]4,"['Cc1cncc([CH]=O)c1', 'Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1']"
43,[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][cH:9]1)[CH2:10][CH2:11][CH2:12][N:13]2[CH2:14][CH2:15][C:16]([OH:17])([c:18]3[cH:19][cH:20][c:21]([Br:22])[cH:23][cH:24]3)[CH2:25][CH2:26]2,"['O=[CH]CCC(=O)c1ccc(F)cc1', 'OC1(c2ccc(Br)cc2)CCNCC1']"
44,[N:1]#[C:2][C:3]([c:4]1[cH:5][cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]1)([CH2:14][CH2:15][CH2:16][NH:17][CH3:18])[CH:19]([CH3:20])[CH3:21],"['[CH2]=O', 'CNCCCC(C#N)(c1ccc(OC)c(O)c1)C(C)C', 'COc1ccc(C(C#N)(CCCN)C(C)C)cc1OC']"
45,[O:1]=[S:2]([c:3]1[n:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[nH:11]1)[CH2:12][c:13]3[n:14][c:15]([cH:16][c:17]([O:18][CH2:19][C:20]([F:21])([F:22])[F:23])[c:24]3[CH3:25])[CH3:26],"['Cc1cc(OCC(F)(F)F)c(C)c(CS(=O)(=O)c2nc3ccccc3[nH]2)n1', 'Cc1cc(OCC(F)(F)F)c(C)c(CS(=O)c2nc3cc(O)ccc3[nH]2)n1', 'Cc1cc(OCC(F)(F)F)c(C)c(CS(=O)c2nc3ccc(O)cc3[nH]2)n1']"
46,[O:1]=[C:2]1[CH:3]=[C:4]2[C:5](=[C:6]3[CH:7]([c:8]4[cH:9][cH:10][c:11]([cH:12][cH:13]4)[NH:14][CH3:15])[CH2:16][C:17]5([CH3:18])[CH:19]([CH2:20][CH2:21][C:22]5([OH:23])[C:24]#[C:25][CH3:26])[CH:27]3[CH2:28][CH2:29]2)[CH2:30][CH2:31]1,"['[CH2]=O', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N)cc3)CC21C']"
47,[O:1]([c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[C:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)=[C:15]([c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[CH2:22][CH3:23])[CH2:24][CH2:25][NH:26][CH3:27],"['CCC(=C(c1ccccc1)c1ccc(OCCNC)cc1)c1ccc(O)cc1', '[CH2]=O', 'CCC(=C(c1ccccc1)c1ccc(OCCN)cc1)c1ccccc1']"
48,[O:1]=[S:2](=[O:3])([NH2:4])[c:5]1[s:6][c:7]2[c:8]([cH:9]1)[CH:10]([NH:11][CH2:12][CH3:13])[CH2:14][N:15]([CH2:16][CH2:17][CH2:18][O:19][CH3:20])[S:21]2(=[O:22])=[O:23],"['COCCCN1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O', 'C[CH]=O', 'CCNC1CNS(=O)(=O)c2sc(S(N)(=O)=O)cc21', 'COCC[CH]=O']"
49,[n:1]1[cH:2][cH:3][cH:4][c:5]2[cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]([NH:12][CH:13]([CH3:14])[CH2:15][CH2:16][CH2:17][NH2:18])[c:19]12,"['COc1cc(NC(C)CCCN)c2nc(O)ccc2c1', 'COc1cc(NC(C)CCCN)c2ncc(O)cc2c1', 'COc1cc(NC(C)CCCN)c2nccc(O)c2c1', 'COc1cc(NC(C)CCCN)c2ncccc2c1O', 'COc1cc2cccnc2c(NC(C)CCCN)c1O', 'COc1cc(NC(C)CC[CH]=O)c2ncccc2c1', 'N']"
50,[O:1]=[c:2]1[o:3][c:4]2[cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]2[c:12]([c:13]1[CH2:14][CH2:15][N+:16]([CH3:17])([CH2:18][CH3:19])[CH2:20][CH3:21])[CH3:22],"['[CH2]=O', 'CC[N+](C)(CC)CCc1c(C)c2ccc(O)cc2oc1=O']"
51,[O:1]=[C:2]([NH:3][c:4]1[c:5]([Cl:6])[cH:7][n:8][cH:9][c:10]1[Cl:11])[c:12]2[cH:13][cH:14][c:15]([O:16][CH:17]([F:18])[F:19])[c:20]([O:21][CH2:22][CH:23]3[CH2:24][CH2:25]3)[cH:26]2,"['O=C(Nc1c(Cl)c[n+]([O-])cc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1', 'O=C(c1cc(O)c(OC(F)F)cc1)Nc2c(Cl)cncc2Cl', 'O=CC1CC1']"
52,[OH:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([c:7]1[OH:8])-[c:9]3[cH:10][cH:11][cH:12][c:13]4[c:14]3[CH:15]([N:16]([CH3:17])[CH2:18][CH2:19]4)[CH2:20]2,"['[CH2]=O', 'Oc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3']"
53,[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][c:7]([s:8]1)[CH3:9])[C:10]2=[C:11]([OH:12])[c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]3[S:19](=[O:20])(=[O:21])[N:22]2[CH3:23],['CN1C(C(=O)Nc2ncc(CO)s2)=C(O)c2ccccc2S1(=O)=O']
